run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
36,"([16, 17, 18, 20, 22], 0.8344988344988346)","([2, 4, 5, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8051282051282052)",0.2400932400932401
37,"([2, 16, 17, 20, 22, 26], 0.8461538461538461)","([0, 2, 4, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8200466200466201)",0.23822843822843823
38,"([14, 16, 17, 18, 19, 20], 0.848018648018648)","([2, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32, 34], 0.8107226107226108)",0.23962703962703963
39,"([16, 17, 18, 19, 23], 0.8335664335664336)","([2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8032634032634033)",0.23822843822843823
40,"([16, 17, 18, 19], 0.8396270396270397)","([0, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.8079254079254079)",0.24195804195804196
41,"([16, 17, 19], 0.7994402985074627)","([0, 2, 4, 7, 8, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27, 28, 32, 34], 0.8017723880597015)",0.2392723880597015
42,"([17, 18, 20, 22, 28], 0.8396270396270397)","([2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 29, 30], 0.8088578088578089)",0.23776223776223776
43,"([16, 17, 18, 19], 0.8316231343283582)","([0, 2, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 32, 34], 0.8092350746268657)",0.23180970149253732
44,"([8, 16, 17, 18], 0.8064365671641791)","([2, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.7971082089552238)",0.228544776119403
45,"([14, 16, 17, 19, 22], 0.835820895522388)","([2, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 32, 34], 0.8055037313432836)",0.2355410447761194
46,"([14, 15, 16, 17, 23], 0.8438228438228438)","([2, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32, 34], 0.8121212121212121)",0.23543123543123542
47,"([2, 16, 17, 18, 19, 26], 0.8466200466200466)","([2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8032634032634033)",0.23636363636363636
48,"([16, 17, 18, 19, 23], 0.8386946386946387)","([0, 2, 4, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 32], 0.8065268065268065)",0.23030303030303031
49,"([14, 16, 17, 20, 22], 0.8414179104477612)","([0, 2, 4, 5, 6, 7, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 32], 0.8017723880597015)",0.24113805970149255
