run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
28,"([1, 6, 13, 16, 22, 24, 26, 37, 38, 39], 314.85787577998315)","([], 516.0576715585037)"
29,"([5, 18, 19, 23, 25, 34], 383.72667976937845)","([], 511.8213779506872)"
30,"([6, 15, 19, 27, 31, 32, 36], 375.23501258590954)","([], 519.5890936089729)"
31,"([0, 2, 4, 13, 21, 23, 30, 32, 41, 42, 43], 364.66607754440344)","([], 551.6747439834488)"
32,"([2, 5, 20, 24, 27, 30, 31, 40, 46, 49], 279.2636016978277)","([], 460.5912843797026)"
33,"([3, 16, 17, 19, 21, 25, 27, 33, 43, 45], 224.21434469927084)","([], 494.22406713480336)"
34,"([0, 2, 17, 23, 24, 29, 30, 33, 37, 44], 343.34647427354884)","([], 521.2504835341491)"
35,"([5, 7, 8, 10, 13, 21, 27, 30, 36, 39, 45, 47], 317.77643777867587)","([5, 30], 481.37270092387683)"
36,"([1, 5, 8, 20, 22, 26, 28, 36, 39, 48], 308.66377151073704)","([], 501.23591190581254)"
37,"([0, 1, 3, 5, 8, 9, 12, 16, 21], 277.9101831345884)","([], 492.07749704024616)"
38,"([5, 7, 10, 19, 22, 24, 31, 32, 33, 44, 46], 316.39670128460165)","([19], 513.5413370446257)"
39,"([3, 13, 15, 21, 24, 26, 29, 32, 36, 37, 46], 301.79090373321446)","([], 504.3214427436066)"
40,"([8, 13, 14, 16, 19, 23, 42, 43, 47], 373.5252195703627)","([], 505.31825390009084)"
41,"([1, 12, 13, 25, 26, 27, 28, 29, 30, 32, 37, 40, 43, 47, 49], 398.81533070799554)","([29], 520.2721147402947)"
42,"([18, 24, 25, 29, 41, 45, 46, 48], 384.66373888387795)","([], 507.42731505784985)"
43,"([11, 12, 18, 32, 36, 37, 40, 43, 46, 48], 386.9177238766756)","([], 518.4645005415503)"
44,"([4, 6, 28, 29, 30, 32, 42, 46], 343.4693131050706)","([], 517.9478087529723)"
45,"([20, 22, 26, 27, 30, 34], 411.5740088527364)","([], 551.0127504945576)"
46,"([0, 4, 6, 8, 9, 11, 22, 23, 32, 33, 37, 42, 44, 46], 230.21861864927175)","([], 502.4577802797626)"
47,"([7, 33, 34, 38, 40, 41, 44, 47], 373.3895343703059)","([], 497.2883583847604)"
48,"([15, 16, 18, 27, 29, 32, 35, 36, 44, 46, 47], 350.89895538037956)","([], 506.0153739707994)"
49,"([4, 5, 6, 14, 18, 25, 27, 29, 35, 36, 42, 43], 255.5758084839211)","([], 517.37280066611)"
50,"([0, 1, 7, 11, 12, 13, 22, 30, 48], 316.8890809218314)","([], 455.1641177041005)"
51,"([11, 20, 25, 28, 31, 36, 40, 41], 331.27528189077134)","([], 485.2485193030677)"
52,"([6, 13, 17, 20, 22, 26, 29, 39, 40, 41, 46], 234.43999461744522)","([], 498.89619598305353)"
53,"([7, 17, 18, 36, 39, 43, 45, 46, 48], 279.506880953622)","([], 530.802046680165)"
54,"([2, 12, 16, 20, 22, 24, 27, 28, 37, 42, 45, 48, 49], 318.3461396529412)","([], 511.28717797417505)"
55,"([0, 3, 6, 12, 13, 20, 22, 36, 37, 47], 362.41606760880046)","([], 552.8546019584865)"
56,"([8, 20, 26, 27, 28, 35, 38, 41, 43], 222.40735191483282)","([], 466.71192645762665)"
57,"([0, 1, 3, 4, 6, 8, 16, 17, 23, 29, 34, 42], 342.5514370638498)","([], 548.2691406676944)"
58,"([3, 5, 7, 8, 16, 27, 28, 29, 39, 41, 44, 46], 368.2254400940414)","([], 526.3402250347704)"
59,"([1, 6, 13, 14, 23, 25, 32, 46], 260.0589071031473)","([], 488.53410641515103)"
60,"([0, 6, 16, 20, 22, 26, 31, 32, 35, 42, 48], 303.49981873254256)","([], 493.8571004904758)"
61,"([0, 1, 8, 9, 17, 22, 34, 41, 42, 47], 333.85703231096323)","([], 533.8615696248995)"
62,"([3, 6, 7, 11, 29, 30, 33, 36, 44, 47], 383.3210018444831)","([], 544.6921059207064)"
63,"([3, 8, 13, 14, 15, 16, 25, 27, 44, 48], 298.74516795143455)","([], 489.2910213354617)"
64,"([3, 9, 12, 15, 37, 38, 44, 45], 425.12062986983824)","([14, 45], 497.72138954259356)"
65,"([2, 5, 7, 14, 15, 28, 42, 43], 335.7756344528897)","([], 464.3511417023126)"
66,"([0, 7, 14, 15, 17, 24, 33, 36, 48, 49], 389.16724041128055)","([], 499.5871225632046)"
67,"([11, 14, 15, 29, 36, 37, 41, 45, 47, 48], 420.85176070221337)","([], 544.5841615097102)"
68,"([0, 14, 18, 19, 24, 26, 29, 32, 36, 38, 40, 45, 49], 309.20261571839194)","([], 518.7989745365649)"
69,"([0, 4, 8, 11, 23, 25, 32, 40, 44], 310.4928885206203)","([], 462.7904763803197)"
70,"([8, 21, 22, 26, 28, 37, 42, 43], 323.6172184198019)","([], 520.8474305100544)"
71,"([13, 14, 20, 26, 30, 32, 34, 40, 45, 46, 47], 387.50699809499645)","([], 519.4005891950135)"
72,"([2, 6, 27, 28, 41, 45, 46], 291.2073035297829)","([], 496.3923342617315)"
73,"([0, 7, 22, 23, 28, 36, 39, 46], 313.7490267610551)","([], 527.2998812065537)"
74,"([0, 2, 13, 16, 31, 35, 45, 49], 342.27403296593707)","([], 544.2914635076562)"
75,"([3, 5, 10, 20, 27, 32, 33, 34, 49], 254.7048981937968)","([], 459.33218615801854)"
76,"([1, 4, 10, 18, 31, 32, 33, 36, 37, 41, 48], 337.5398882117535)","([], 503.7004378574431)"
77,"([8, 9, 18, 22, 25, 31, 45], 335.44683109104596)","([], 564.9245271076024)"
78,"([7, 8, 9, 11, 18, 21, 23, 24, 30, 47], 310.01200136906954)","([], 457.29839393537657)"
79,"([0, 3, 4, 11, 22, 30, 33, 36, 37, 38, 43], 388.7004154367764)","([], 515.7390831126253)"
80,"([0, 11, 15, 16, 17, 29, 30, 31, 35, 43, 48], 429.8912953589501)","([0, 43], 520.8174161830284)"
81,"([2, 8, 12, 14, 21, 28, 40, 48, 49], 275.37277579848774)","([], 469.63462417558185)"
82,"([8, 9, 10, 11, 15, 20, 21, 29, 30, 32, 35, 36], 315.6444682713998)","([], 485.8403967402421)"
83,"([0, 14, 24, 25, 28, 29, 30, 39, 45], 429.49299750681257)","([], 531.736733866142)"
84,"([0, 8, 19, 31, 40, 44], 354.56887130660067)","([], 519.9999312788902)"
85,"([15, 19, 23, 24, 26, 30, 31, 41, 43], 392.43317448852537)","([], 513.3166888240944)"
86,"([3, 4, 5, 7, 9, 10, 14, 21, 47], 264.86575251019406)","([], 434.3319677334215)"
87,"([1, 3, 8, 11, 19, 20, 26, 32, 34, 36, 37, 44, 47], 408.10507093230393)","([], 554.677430399935)"
88,"([1, 8, 9, 12, 21, 25, 43, 48], 373.499226472677)","([], 540.833143210103)"
89,"([11, 12, 13, 26, 27, 35, 37, 43, 45, 48], 173.63249618483212)","([18], 573.0514178568493)"
90,"([0, 1, 3, 7, 8, 29, 30, 46, 47], 344.53781256522575)","([], 501.1262913872488)"
91,"([0, 2, 12, 19, 22, 23, 24, 29, 31, 42, 45], 356.5918731149644)","([], 517.2921457425671)"
92,"([5, 11, 21, 22, 24, 31, 36, 37, 42, 44], 333.1688266905532)","([], 502.2134961453115)"
93,"([2, 8, 12, 16, 25, 37, 44, 45], 293.2112151223414)","([], 516.1911817061355)"
94,"([5, 10, 13, 16, 20, 30, 39, 48], 365.08826300859846)","([], 484.9242645283618)"
95,"([3, 6, 8, 14, 18, 26, 30, 38, 40, 43, 45, 46, 48], 325.9175615042253)","([], 550.0823467957664)"
96,"([2, 4, 12, 17, 18, 32, 38, 43], 319.5939695189553)","([], 520.6163508153697)"
97,"([11, 14, 18, 22, 24, 25, 26, 27, 29, 45], 331.7281620112591)","([11], 518.7597369680598)"
98,"([6, 16, 18, 21, 22, 30, 31], 338.81629313248595)","([16], 490.0081497910989)"
99,"([4, 10, 27, 29, 36, 40, 44, 46], 256.0672983504795)","([], 514.929882759424)"
