run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
29,"([2, 3, 4, 11, 15, 18, 19, 20, 30, 38, 39, 40, 43, 47], 688.6763948462263)","([], 763.6781696905333)"
30,"([4, 5, 13, 23, 26, 27, 30, 32, 36, 40, 41, 44], 618.0786387173696)","([], 760.1370106903455)"
31,"([2, 4, 12, 13, 18, 25, 31, 37, 38, 43], 629.4411749289407)","([], 747.6596861735923)"
32,"([2, 15, 18, 19, 21, 22, 27, 29, 34, 36, 40, 41, 47], 679.0133191762816)","([], 768.0736178396621)"
33,"([5, 6, 7, 14, 18, 21, 24, 30, 38, 41, 42], 638.5221086527587)","([], 752.2055185683212)"
34,"([0, 6, 15, 27, 31, 33, 34, 38, 39, 43, 46], 584.8775163877182)","([], 697.6035236416172)"
35,"([6, 13, 17, 20, 21, 24, 26, 34, 36, 43, 44, 45, 48], 597.9202373550542)","([], 722.4202159562622)"
36,"([3, 4, 8, 18, 19, 23, 26, 28, 29, 32, 33, 38, 40, 45], 651.6277752012289)","([], 744.4706286461607)"
37,"([0, 6, 14, 15, 16, 23, 26, 34, 36, 41], 483.50453849554685)","([], 711.3329464607527)"
38,"([1, 4, 5, 6, 8, 10, 24, 32, 33, 38, 41, 43, 47], 604.5837964216138)","([], 747.1205926925148)"
39,"([5, 6, 7, 8, 27, 37, 42, 48], 634.1930229347943)","([], 732.6541968009102)"
40,"([0, 3, 5, 11, 13, 16, 23, 36, 37, 48], 566.4692369702425)","([], 701.589643715695)"
41,"([2, 6, 8, 9, 11, 13, 21, 30], 633.0967865268284)","([], 711.6131802101709)"
42,"([3, 5, 18, 26, 28, 31, 37, 38, 41, 44, 48], 644.7742764551946)","([], 692.6243378143809)"
43,"([6, 17, 19, 20, 21, 24, 34, 42, 44, 45, 48, 49], 613.0881484198796)","([], 720.140540044477)"
44,"([3, 15, 17, 24, 29, 36, 38, 40, 48], 649.431219925933)","([], 679.9695724123767)"
45,"([8, 9, 16, 19, 21, 22, 24, 30, 32, 35, 43, 44], 601.3084055080249)","([], 749.6257119206523)"
46,"([0, 9, 14, 17, 19, 23, 25, 32, 37, 42, 44], 599.9239664789279)","([], 668.8011926281118)"
47,"([4, 5, 13, 18, 21], 657.4426257964906)","([], 694.8144867029998)"
48,"([3, 4, 11, 13, 15, 16, 18, 26, 28, 30, 38, 41, 42], 626.4283892724281)","([42], 725.3062620833947)"
49,"([7, 11, 17, 21, 23, 26, 36, 41], 579.0358580317078)","([], 722.8473377930742)"
50,"([10, 13, 29, 39, 42, 43, 49], 633.9799237101066)","([], 719.759272845941)"
51,"([4, 6, 8, 16, 22, 24, 34, 38, 40, 42], 635.5741232886841)","([], 707.6210203841919)"
52,"([1, 2, 4, 6, 9, 11, 13, 17, 27, 37, 43], 630.0836958547821)","([], 728.088741955559)"
53,"([14, 16, 18, 19, 28, 36, 43, 45, 48], 706.6231161825178)","([18], 768.19880253865)"
54,"([14, 26, 28, 29, 30, 34, 43, 47], 637.7451136448628)","([], 731.419206732376)"
55,"([8, 10, 16, 18, 23, 26, 27, 33, 42, 44, 48], 504.61750663258755)","([18, 27], 715.8525224547635)"
56,"([1, 2, 3, 10, 17, 19, 22, 27, 28, 31, 33, 34, 37, 47], 634.0081768013052)","([], 751.4093144956406)"
57,"([5, 7, 8, 11, 16, 18, 23, 30, 38, 39, 42, 43, 44, 47, 48], 616.1172620424633)","([5], 690.2403159632619)"
58,"([8, 14, 16, 20, 25, 27, 29, 31, 33, 37, 40, 43], 704.4064353753436)","([], 699.692341577238)"
59,"([0, 3, 5, 7, 9, 10, 27, 35, 37, 39, 48, 49], 606.7107540857334)","([], 672.7336934546745)"
60,"([0, 10, 12, 14, 15, 16, 20, 32, 36, 39, 41], 560.1840535732531)","([], 731.174472584801)"
61,"([0, 2, 4, 25, 31, 33, 34, 40, 48], 679.0731176661716)","([], 717.2631721115749)"
62,"([1, 11, 14, 16, 18, 23, 29, 45, 47], 607.7294646048769)","([], 730.7791879729176)"
63,"([0, 5, 15, 21, 22, 30, 36, 37, 49], 586.2550683607599)","([], 686.5216242261848)"
64,"([3, 4, 11, 17, 28, 33, 37, 39], 606.3087143723659)","([], 719.9711194859524)"
65,"([5, 8, 9, 15, 22, 32, 33, 39, 42], 747.5411411828676)","([], 792.750950174876)"
66,"([1, 16, 27, 33, 38, 41, 42], 631.8922569242304)","([], 767.078314004492)"
67,"([4, 13, 14, 18, 19, 25, 36, 37, 49], 664.423309047446)","([], 772.0252130168221)"
68,"([0, 2, 10, 13, 14, 19, 21, 23, 29, 31, 33, 35, 40, 48], 643.5029609791798)","([], 741.107221985688)"
69,"([1, 9, 12, 22, 33, 37, 38, 41, 47], 719.0417287354411)","([], 713.2794725765831)"
70,"([1, 3, 8, 11, 12, 17, 18, 19, 29, 33, 47], 523.2391728184318)","([], 766.4173273501378)"
71,"([0, 3, 20, 27, 28, 29, 30, 33, 34, 36, 41, 43, 45, 48], 523.6881470845796)","([], 681.6094731301745)"
72,"([3, 11, 12, 17, 19, 23, 31, 33, 37, 38, 43], 702.8845583375173)","([], 751.1918030975652)"
73,"([2, 30, 36, 39], 652.7388806834616)","([], 701.8100630237701)"
74,"([4, 6, 17, 21, 22, 27, 30, 32, 34, 38, 41, 48], 661.2064902192405)","([], 731.9019553324042)"
75,"([7, 14, 18, 19, 24, 25, 29, 33, 38, 41, 45, 48], 666.405635858135)","([], 692.34004064158)"
76,"([13, 14, 18, 20, 22, 30, 37, 39, 42, 43, 44, 46], 680.9200806946885)","([], 743.1570913977316)"
77,"([3, 10, 14, 16, 27, 29, 31, 33, 37, 38, 40, 43, 44, 47], 603.8552045905367)","([], 737.8914744464298)"
78,"([0, 8, 16, 26, 30, 31, 36, 37, 44, 46], 680.3551012289994)","([], 725.5509859146734)"
79,"([3, 4, 7, 10, 14, 15, 17, 24, 25, 29, 33, 37, 43, 49], 581.0052134752882)","([], 668.7337812258585)"
80,"([2, 5, 7, 8, 21, 28, 29, 30, 34, 37, 41, 43, 44, 47], 612.7337043384952)","([], 773.4615087711178)"
81,"([6, 7, 9, 10, 12, 15, 20, 24, 36, 41, 42, 43, 46, 47], 563.3920379678499)","([43], 730.7000331414685)"
82,"([3, 8, 16, 37, 38, 45], 696.7665647168361)","([], 696.2324450295064)"
83,"([9, 11, 19, 21, 27, 33, 35, 36, 43], 580.7419084081473)","([], 743.2620426754124)"
84,"([2, 4, 5, 9, 13, 14, 15, 27, 34, 35, 37, 41, 43, 45], 635.1826208988491)","([], 764.7410449682823)"
85,"([5, 13, 20, 28, 30, 31, 37, 39, 41, 47], 622.5648802304295)","([47], 679.8594566027097)"
86,"([3, 5, 10, 15, 17, 20, 21, 26, 27, 28, 32, 33], 730.2727505821888)","([], 731.4628410810251)"
87,"([9, 11, 13, 18, 19, 32, 38, 44, 48], 716.572118780158)","([], 766.4369123617266)"
88,"([2, 17, 18, 19, 23, 29, 30, 34], 809.232982387165)","([], 820.1135033071776)"
89,"([3, 5, 8, 13, 18, 22, 25, 37, 46, 48, 49], 602.5226189715466)","([], 688.2751392312396)"
90,"([6, 7, 15, 18, 25, 29, 35, 36, 49], 558.3017724377398)","([], 708.5579810040554)"
91,"([0, 6, 8, 10, 11, 13, 22, 24, 33, 37, 38, 45], 648.2232552243219)","([], 699.3999240646813)"
92,"([3, 6, 10, 18, 33, 35, 38, 43, 44, 48, 49], 688.5572118594399)","([], 755.3435652051006)"
93,"([17, 18, 22, 25, 29, 31, 36, 38, 41, 42, 46], 617.2352261589402)","([], 748.283026215247)"
94,"([7, 9, 10, 20, 21, 25, 35, 49], 588.4760610351387)","([], 710.8771380796455)"
95,"([12, 14, 16, 22, 29, 44, 46, 49], 618.2955257722331)","([], 774.2197930413699)"
96,"([1, 11, 14, 15, 16, 17, 20, 43, 44], 706.8267604193305)","([], 762.0793300424335)"
97,"([5, 10, 13, 14, 17, 24, 26, 34, 35, 42, 43], 600.9065017657074)","([], 685.459003268167)"
98,"([1, 3, 11, 14, 15, 17, 25, 29, 36, 37, 39, 44], 678.7704118400748)","([17], 759.1705747125435)"
99,"([1, 4, 22, 23, 28, 31, 32, 33, 37, 38, 39, 41], 568.1139057285147)","([], 734.9403525384145)"
