run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
58,"([10, 19, 27, 28, 31, 33, 40], 423.8213411993039)","([], 550.6288519951291)"
59,"([2, 11, 14, 15, 17, 24, 31, 33, 36, 37, 40, 47], 515.1046147704757)","([], 609.6539593898432)"
60,"([4, 13, 15, 18, 20, 23, 25, 29, 35, 44], 369.1050954986432)","([44], 597.0521592713131)"
61,"([11, 12, 17, 21, 22, 29, 30, 36, 41, 43, 48], 411.62171593746007)","([], 656.5350530333882)"
62,"([8, 16, 20, 25, 32, 38, 39, 41, 42, 46], 382.80201293560754)","([], 586.9014422079744)"
63,"([1, 5, 7, 9, 20, 30, 31, 33, 36, 43, 47], 404.72917886144984)","([31, 43], 597.2088311993)"
64,"([2, 11, 12, 13, 16, 31, 35, 43], 419.021481454696)","([], 568.1016230878723)"
65,"([3, 8, 19, 26, 27, 38, 40, 41, 42, 43, 45, 46], 433.851660415931)","([], 570.1783246923256)"
66,"([3, 7, 12, 13, 26, 31, 36, 39, 41, 45], 429.12022923427014)","([36], 627.4075336345079)"
67,"([4, 9, 12, 15, 17, 32, 36, 47], 524.0475695581298)","([], 627.14442034087)"
68,"([5, 9, 10, 23, 30, 32, 38, 43], 429.87742483863593)","([], 571.7352091652361)"
69,"([1, 5, 20, 28, 30, 32, 33, 34], 377.9788629691105)","([], 592.8016676007773)"
70,"([1, 3, 4, 7, 8, 11, 13, 17, 28, 32, 41, 44, 48], 431.50156082175187)","([], 579.8141679634205)"
71,"([3, 9, 10, 14, 16, 24, 36, 37, 39, 41, 47], 430.2445734419624)","([], 577.4803017097483)"
72,"([0, 5, 21, 24, 29, 30, 38, 39, 41, 43, 49], 416.10776035642937)","([], 530.7296639791932)"
73,"([2, 12, 13, 23, 25, 30, 36, 39, 42, 47, 48], 438.7634377884101)","([], 544.9859698236896)"
74,"([6, 8, 9, 14, 18, 31, 39, 40, 42, 48], 461.0004387495179)","([], 577.659477600464)"
75,"([11, 12, 16, 29, 32, 37, 42], 408.4112151380551)","([], 557.6496497933312)"
76,"([1, 3, 4, 14, 17, 18, 35, 41, 45], 437.6401461088789)","([], 578.9812565845558)"
77,"([2, 5, 16, 19, 24, 25, 29, 32, 33, 34, 35, 36, 37, 38, 47, 48, 49], 507.882467660682)","([33], 580.7695521240082)"
78,"([6, 7, 13, 36, 38, 39, 40, 41, 46], 428.1961406679277)","([], 552.0479856927493)"
79,"([3, 4, 9, 16, 26, 28, 32, 33, 37, 40, 46, 49], 459.3458012979717)","([16], 565.4151280088818)"
80,"([3, 5, 6, 8, 9, 13, 15, 16, 23, 29, 33, 49], 368.55408054633324)","([], 542.5791617540359)"
81,"([2, 3, 4, 12, 15, 29, 33, 48], 479.1414383932975)","([], 603.0028353510526)"
82,"([2, 3, 12, 15, 29, 37, 42, 47, 48, 49], 405.6021049813634)","([], 621.8783202684542)"
83,"([3, 6, 9, 12, 13, 14, 15, 17, 21, 23, 36, 39, 42, 47], 487.392245223039)","([], 612.1873752633534)"
84,"([3, 4, 5, 8, 23, 27, 33, 35, 37], 393.22995999018747)","([3, 37], 543.6589366733734)"
85,"([3, 19, 26, 33, 36, 45], 485.3573525915694)","([], 606.5282145444369)"
86,"([0, 5, 8, 11, 12, 15, 20, 25, 32, 45, 47], 430.2938398094454)","([], 632.7673657831294)"
87,"([0, 2, 4, 27, 32, 33, 45, 46], 385.00958044219993)","([], 584.6714616220786)"
88,"([0, 8, 11, 14, 20, 28, 32, 33, 44, 45], 409.2618342213079)","([], 596.9385728052289)"
89,"([10, 11, 13, 17, 23, 29, 33, 41, 44, 46], 465.86153745945495)","([], 579.5451302837968)"
90,"([3, 6, 7, 13, 15, 18, 21, 29, 42, 46, 49], 479.50940076035994)","([], 577.8994648459179)"
91,"([9, 12, 16, 22, 25, 27, 29, 36, 49], 444.6190232386212)","([], 585.23347601363)"
92,"([0, 2, 3, 6, 7, 11, 12, 13, 35, 37, 45], 398.9420916936127)","([], 568.4747594666628)"
93,"([0, 5, 12, 13, 19, 25, 27, 28, 37, 40], 370.7120200646895)","([], 528.7459441029575)"
94,"([9, 26, 32, 43, 45], 423.4841664333303)","([], 588.23805715496)"
95,"([13, 33, 36, 38, 41, 46, 47, 48], 344.9079386163604)","([], 598.0391774654062)"
96,"([4, 10, 14, 15, 18, 19, 27, 31, 32, 35, 38, 41, 43, 45, 48], 350.06144655305906)","([], 571.1507126818341)"
97,"([18, 21, 31, 34, 43, 45], 483.5236081863011)","([], 587.6096195593581)"
98,"([1, 3, 4, 5, 13, 28, 34, 35, 38, 44], 405.00290438830257)","([], 536.8454175663926)"
99,"([1, 18, 19, 31, 39, 46, 49], 495.25688020260645)","([], 543.7851059339744)"
