run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
76,"([11, 14, 15, 22, 25, 32, 34, 40], 266.5310657932009)","([], 470.2216582429133)"
77,"([3, 5, 12, 15, 27, 35, 36, 42, 43, 49], 139.3647618945158)","([], 487.11998366472693)"
78,"([8, 12, 13, 20, 23, 25, 29, 33, 37, 42], 138.91977358675481)","([], 416.63944654624703)"
79,"([3, 8, 10, 14, 23, 28, 36, 38, 42, 43], 185.5185012330428)","([21], 424.8236436301589)"
80,"([25, 28, 30, 31, 34, 36, 37, 39, 44], 205.1104589542309)","([], 424.43910342729174)"
81,"([8, 10, 23, 26, 29, 38], 290.09352083719926)","([], 471.25535370340293)"
82,"([4, 5, 11, 21, 22, 32, 35, 43, 46, 47], 186.29525571652863)","([], 376.044561016298)"
83,"([5, 13, 18, 24, 43, 45], 275.24485564483876)","([16], 426.78066484188884)"
84,"([4, 7, 17, 19, 31, 43, 44, 45], 273.201214972154)","([], 468.4068408785939)"
85,"([1, 4, 5, 13, 15, 17, 18, 20, 40], 283.99856743857913)","([1, 4], 448.9113414090732)"
86,"([0, 2, 9, 14, 24, 29, 44], 272.33413024497565)","([], 453.6940688897099)"
87,"([11, 15, 17, 34, 35, 40], 223.37213967403076)","([], 436.5099787852053)"
88,"([9, 13, 15, 26, 31, 32, 37], 246.69114369453882)","([], 402.64076328923073)"
89,"([2, 3, 11, 13, 15, 17, 20, 23, 33, 35, 46, 47], 132.4853176635165)","([], 431.6907017680573)"
90,"([3, 9, 10, 16, 18, 19, 22, 25, 35, 36, 40, 48], 263.77644457272277)","([], 426.48207449608867)"
91,"([7, 14, 20, 28, 34, 36, 37, 42, 45, 47], 190.14801896195232)","([], 430.38622800201136)"
92,"([2, 5, 12, 19, 27, 32, 37, 43, 47, 48], 274.4458831218501)","([], 450.1810603727146)"
93,"([1, 11, 13, 25, 28, 30, 37, 44, 46, 49], 216.9356380099514)","([], 405.80391488353246)"
94,"([0, 11, 15, 16, 21, 23, 29, 40, 41, 49], 215.76101855210564)","([], 446.1967970819577)"
95,"([4, 11, 18, 20, 24, 44, 48], 247.72301306593826)","([], 435.0916626394478)"
96,"([1, 2, 4, 5, 6, 24, 26, 27, 29, 36, 48], 221.57296672939123)","([], 456.86652258376404)"
97,"([0, 3, 5, 17, 20, 23, 33, 36, 39, 43], 236.30808589732106)","([], 441.2063539919376)"
98,"([4, 8, 12, 16, 30, 31, 37, 44, 46, 49], 162.95735240852608)","([], 425.9453669164207)"
99,"([13, 19, 30, 43], 302.62862734784534)","([], 440.9969905811867)"
