run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
36,"([], 0.00042573010278351697)","([], 0.00042530852710233324)"
37,"([], 2.352309310713258e-05)","([], 2.3884263750055054e-05)"
38,"([], 1.2242216369160474e-05)","([], 1.1744534984094732e-05)"
39,"([], 0.0024466985748273218)","([], 0.0024466996804365514)"
40,"([], 4.587749200418734e-05)","([], 4.5911145687095466e-05)"
41,"([], 3.2803595651274167e-07)","([], 4.1410634730436205e-07)"
42,"([], 0.0011323470462454436)","([], 0.001132847026644526)"
43,"([], 4.362708615098052e-05)","([], 4.372105719670314e-05)"
44,"([], 0.0013953981238184476)","([], 0.0013894890508403535)"
45,"([], 0.0052791290096942944)","([], 0.005270774006604917)"
46,"([], 0.0006845670268298445)","([], 0.0006883253261572056)"
47,"([], 0.0034058629840325594)","([], 0.0030123677221311073)"
48,"([], 0.0013713318297787905)","([], 0.001377488396635762)"
49,"([], 2.477635292347371e-07)","([], 1.6831094494427536e-07)"
50,"([], 0.0001284279790764488)","([], 0.00013009508869334197)"
51,"([], 0.004677985579184584)","([], 0.004678079343925)"
52,"([], 0.000696476304239583)","([], 0.0006989335532837407)"
53,"([], 0.000597761713718295)","([], 0.00046476815476372)"
54,"([], 0.0015045085199523326)","([], 0.0015046076462112978)"
55,"([], 1.0521763394198347e-06)","([], 1.2057790787357818e-06)"
56,"([], 0.0007705953126610523)","([], 0.0007755716741165466)"
57,"([], 0.000395713956009739)","([], 0.0003445336085763362)"
58,"([], 0.0013008097884190661)","([], 0.0012975863637593313)"
59,"([], 0.0016745967509388393)","([], 0.0016737901053370252)"
60,"([], 4.147372175943247e-06)","([], 4.285049116923829e-06)"
61,"([], 0.00037172822672815187)","([], 0.0003717196796562717)"
62,"([], 0.0007979689170885124)","([], 0.0007979048313074868)"
63,"([], 0.004671676964449977)","([], 0.004667912367839477)"
64,"([], 2.104098554808254e-05)","([], 2.1699962458204304e-05)"
65,"([], 7.546506565617258e-05)","([], 7.598164866135307e-05)"
66,"([], 1.2760632510510012e-05)","([], 1.3305431277275147e-05)"
67,"([], 0.0001810155415342763)","([], 0.00017856553778200848)"
68,"([], 0.005247147504868543)","([], 0.00523877687350649)"
69,"([], 0.0002239266572100782)","([], 0.00022386085399667133)"
70,"([], 0.009532177319684587)","([], 0.009531694317882478)"
71,"([], 0.003100961379970971)","([], 0.003092980620788125)"
72,"([], 0.0004564315456243063)","([], 0.0005887565374118608)"
73,"([], 0.00046617949635675837)","([], 0.0004677752114199407)"
74,"([], 0.0019156997704734694)","([], 0.0017369765210829002)"
75,"([], 0.004580674345322998)","([], 0.0043452110185775985)"
76,"([], 0.0050423239530472674)","([], 0.005031932212099299)"
77,"([], 0.0010629458507982607)","([], 0.0010632388206406466)"
78,"([], 0.00028336518604366034)","([], 0.0002809960396938128)"
79,"([], 1.3317621340436236e-05)","([], 1.3311698056517546e-05)"
80,"([], 0.0005951158524908906)","([], 0.0005375817024234758)"
81,"([], 0.01059743524258311)","([], 0.010612461325041402)"
82,"([32], 0.0009601708099660276)","([32], 0.0008231920779625023)"
83,"([], 0.0020562420841874762)","([], 0.0020628111222290024)"
84,"([], 0.00272526985043009)","([], 0.002725016649221882)"
85,"([], 2.9755407942715645e-05)","([], 2.899638223198553e-05)"
86,"([], 0.0021563364048269307)","([], 0.0021614727341304906)"
87,"([], 1.8319348641136074e-05)","([], 1.8395815126869905e-05)"
88,"([], 0.00030916593403002354)","([], 0.00030876145927018206)"
89,"([], 0.0008652754414165167)","([], 0.0008651728761557323)"
90,"([], 0.002764844727380492)","([], 0.002764693508208197)"
91,"([], 0.00678676094110231)","([], 0.006789980049237698)"
92,"([], 0.0034052603582317986)","([], 0.0033967870745752614)"
93,"([], 3.329360853582443e-07)","([], 3.9935651119046324e-07)"
94,"([], 0.0022815003653469668)","([], 0.0022745297892621252)"
95,"([24], 0.001509891938945062)","([24], 0.0005567079581610694)"
96,"([], 0.0035766645612023695)","([], 0.003568066406183734)"
97,"([], 0.0005410013961441343)","([], 0.0005410038222951643)"
98,"([], 0.000717054073513971)","([], 0.0007201755152653894)"
99,"([], 4.084027425151158e-05)","([], 6.024297966623957e-06)"
